Year,LocationAbbr,LocationDesc,Class,Data_Value,Data_Value_Unit,Stratification1,Stratification2,Stratification3,LocationID
2018,TX,Anderson,Cardiovascular Diseases,117.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2007,TX,Anderson,Cardiovascular Diseases,115.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2009,TX,Anderson,Cardiovascular Diseases,119.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2012,TX,Anderson,Cardiovascular Diseases,117.7,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2010,TX,Anderson,Cardiovascular Diseases,120.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2019,TX,Anderson,Cardiovascular Diseases,110.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2005,TX,Anderson,Cardiovascular Diseases,121.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2000,TX,Anderson,Cardiovascular Diseases,136.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
1999,TX,Anderson,Cardiovascular Diseases,143.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2017,TX,Anderson,Cardiovascular Diseases,123.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2016,TX,Anderson,Cardiovascular Diseases,121.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2001,TX,Anderson,Cardiovascular Diseases,130.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2014,TX,Anderson,Cardiovascular Diseases,126.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2015,TX,Anderson,Cardiovascular Diseases,127.7,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2003,TX,Anderson,Cardiovascular Diseases,120.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2013,TX,Anderson,Cardiovascular Diseases,115.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2004,TX,Anderson,Cardiovascular Diseases,127.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2002,TX,Anderson,Cardiovascular Diseases,128,"per 100,000",Ages 35-64 years,Hispanic,Overall,48001
2014,TX,Anderson,Cardiovascular Diseases,207.5,"per 100,000",Ages 35-64 years,White,Overall,48001
2018,TX,Anderson,Cardiovascular Diseases,205.3,"per 100,000",Ages 35-64 years,White,Overall,48001
2013,TX,Anderson,Cardiovascular Diseases,186.1,"per 100,000",Ages 35-64 years,White,Overall,48001
2017,TX,Anderson,Cardiovascular Diseases,214.8,"per 100,000",Ages 35-64 years,White,Overall,48001
2004,TX,Anderson,Cardiovascular Diseases,174,"per 100,000",Ages 35-64 years,White,Overall,48001
2005,TX,Anderson,Cardiovascular Diseases,166.2,"per 100,000",Ages 35-64 years,White,Overall,48001
2015,TX,Anderson,Cardiovascular Diseases,201.2,"per 100,000",Ages 35-64 years,White,Overall,48001
2007,TX,Anderson,Cardiovascular Diseases,168.3,"per 100,000",Ages 35-64 years,White,Overall,48001
2019,TX,Anderson,Cardiovascular Diseases,192.9,"per 100,000",Ages 35-64 years,White,Overall,48001
2000,TX,Anderson,Cardiovascular Diseases,213.9,"per 100,000",Ages 35-64 years,White,Overall,48001
2001,TX,Anderson,Cardiovascular Diseases,205.6,"per 100,000",Ages 35-64 years,White,Overall,48001
2016,TX,Anderson,Cardiovascular Diseases,205.2,"per 100,000",Ages 35-64 years,White,Overall,48001
2008,TX,Anderson,Cardiovascular Diseases,173.4,"per 100,000",Ages 35-64 years,White,Overall,48001
2006,TX,Anderson,Cardiovascular Diseases,169.3,"per 100,000",Ages 35-64 years,White,Overall,48001
2009,TX,Anderson,Cardiovascular Diseases,165,"per 100,000",Ages 35-64 years,White,Overall,48001
2002,TX,Anderson,Cardiovascular Diseases,183.8,"per 100,000",Ages 35-64 years,White,Overall,48001
2012,TX,Anderson,Cardiovascular Diseases,181.5,"per 100,000",Ages 35-64 years,White,Overall,48001
2010,TX,Anderson,Cardiovascular Diseases,172.1,"per 100,000",Ages 35-64 years,White,Overall,48001
2003,TX,Anderson,Cardiovascular Diseases,181.6,"per 100,000",Ages 35-64 years,White,Overall,48001
1999,TX,Anderson,Cardiovascular Diseases,217.8,"per 100,000",Ages 35-64 years,White,Overall,48001
2011,TX,Anderson,Cardiovascular Diseases,187.3,"per 100,000",Ages 35-64 years,White,Overall,48001
2019,TX,Anderson,Cardiovascular Diseases,2087.8,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2017,TX,Anderson,Cardiovascular Diseases,2357.5,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2003,TX,Anderson,Cardiovascular Diseases,2458.6,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2004,TX,Anderson,Cardiovascular Diseases,2314.1,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2018,TX,Anderson,Cardiovascular Diseases,2202,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2000,TX,Anderson,Cardiovascular Diseases,2715.5,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2002,TX,Anderson,Cardiovascular Diseases,2478.2,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2011,TX,Anderson,Cardiovascular Diseases,2123.4,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2005,TX,Anderson,Cardiovascular Diseases,2156.4,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2014,TX,Anderson,Cardiovascular Diseases,2324.6,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2001,TX,Anderson,Cardiovascular Diseases,2671.5,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2010,TX,Anderson,Cardiovascular Diseases,2162.4,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2013,TX,Anderson,Cardiovascular Diseases,2168,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2007,TX,Anderson,Cardiovascular Diseases,2166.4,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
1999,TX,Anderson,Cardiovascular Diseases,2834.3,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2008,TX,Anderson,Cardiovascular Diseases,2188.7,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2012,TX,Anderson,Cardiovascular Diseases,2115.1,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2015,TX,Anderson,Cardiovascular Diseases,2381.1,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2016,TX,Anderson,Cardiovascular Diseases,2342.1,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2009,TX,Anderson,Cardiovascular Diseases,2117.2,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2006,TX,Anderson,Cardiovascular Diseases,2178.6,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48001
2015,TX,Anderson,Cardiovascular Diseases,2209.5,"per 100,000",Ages 65 years and older,White,Overall,48001
2010,TX,Anderson,Cardiovascular Diseases,2055.4,"per 100,000",Ages 65 years and older,White,Overall,48001
2002,TX,Anderson,Cardiovascular Diseases,2282.4,"per 100,000",Ages 65 years and older,White,Overall,48001
2012,TX,Anderson,Cardiovascular Diseases,2059.3,"per 100,000",Ages 65 years and older,White,Overall,48001
2017,TX,Anderson,Cardiovascular Diseases,2188.8,"per 100,000",Ages 65 years and older,White,Overall,48001
2019,TX,Anderson,Cardiovascular Diseases,1937.2,"per 100,000",Ages 65 years and older,White,Overall,48001
2005,TX,Anderson,Cardiovascular Diseases,2071.3,"per 100,000",Ages 65 years and older,White,Overall,48001
2001,TX,Anderson,Cardiovascular Diseases,2319.6,"per 100,000",Ages 65 years and older,White,Overall,48001
2014,TX,Anderson,Cardiovascular Diseases,2220.8,"per 100,000",Ages 65 years and older,White,Overall,48001
2011,TX,Anderson,Cardiovascular Diseases,2048.8,"per 100,000",Ages 65 years and older,White,Overall,48001
2009,TX,Anderson,Cardiovascular Diseases,1965,"per 100,000",Ages 65 years and older,White,Overall,48001
1999,TX,Anderson,Cardiovascular Diseases,2487.8,"per 100,000",Ages 65 years and older,White,Overall,48001
2006,TX,Anderson,Cardiovascular Diseases,2052.5,"per 100,000",Ages 65 years and older,White,Overall,48001
2018,TX,Anderson,Cardiovascular Diseases,2048.4,"per 100,000",Ages 65 years and older,White,Overall,48001
2004,TX,Anderson,Cardiovascular Diseases,2150.7,"per 100,000",Ages 65 years and older,White,Overall,48001
2013,TX,Anderson,Cardiovascular Diseases,2092.8,"per 100,000",Ages 65 years and older,White,Overall,48001
2016,TX,Anderson,Cardiovascular Diseases,2190.7,"per 100,000",Ages 65 years and older,White,Overall,48001
2000,TX,Anderson,Cardiovascular Diseases,2372.9,"per 100,000",Ages 65 years and older,White,Overall,48001
2007,TX,Anderson,Cardiovascular Diseases,1985.8,"per 100,000",Ages 65 years and older,White,Overall,48001
2008,TX,Anderson,Cardiovascular Diseases,2041.9,"per 100,000",Ages 65 years and older,White,Overall,48001
2003,TX,Anderson,Cardiovascular Diseases,2269.5,"per 100,000",Ages 65 years and older,White,Overall,48001
2011,TX,Andrews,Cardiovascular Diseases,103.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2006,TX,Andrews,Cardiovascular Diseases,112,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2008,TX,Andrews,Cardiovascular Diseases,112,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2018,TX,Andrews,Cardiovascular Diseases,121.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2007,TX,Andrews,Cardiovascular Diseases,111.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2009,TX,Andrews,Cardiovascular Diseases,108.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2012,TX,Andrews,Cardiovascular Diseases,106.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2010,TX,Andrews,Cardiovascular Diseases,104.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2019,TX,Andrews,Cardiovascular Diseases,121.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2005,TX,Andrews,Cardiovascular Diseases,119,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2000,TX,Andrews,Cardiovascular Diseases,126,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
1999,TX,Andrews,Cardiovascular Diseases,129.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2017,TX,Andrews,Cardiovascular Diseases,124.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2016,TX,Andrews,Cardiovascular Diseases,117.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2001,TX,Andrews,Cardiovascular Diseases,121,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2014,TX,Andrews,Cardiovascular Diseases,112.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2015,TX,Andrews,Cardiovascular Diseases,117.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2003,TX,Andrews,Cardiovascular Diseases,122.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2013,TX,Andrews,Cardiovascular Diseases,105.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2004,TX,Andrews,Cardiovascular Diseases,119.3,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2002,TX,Andrews,Cardiovascular Diseases,122.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48003
2014,TX,Andrews,Cardiovascular Diseases,177.8,"per 100,000",Ages 35-64 years,White,Overall,48003
2018,TX,Andrews,Cardiovascular Diseases,198.1,"per 100,000",Ages 35-64 years,White,Overall,48003
2013,TX,Andrews,Cardiovascular Diseases,174.8,"per 100,000",Ages 35-64 years,White,Overall,48003
2017,TX,Andrews,Cardiovascular Diseases,200.3,"per 100,000",Ages 35-64 years,White,Overall,48003
2004,TX,Andrews,Cardiovascular Diseases,168.5,"per 100,000",Ages 35-64 years,White,Overall,48003
2005,TX,Andrews,Cardiovascular Diseases,164.3,"per 100,000",Ages 35-64 years,White,Overall,48003
2015,TX,Andrews,Cardiovascular Diseases,183.3,"per 100,000",Ages 35-64 years,White,Overall,48003
2007,TX,Andrews,Cardiovascular Diseases,168.6,"per 100,000",Ages 35-64 years,White,Overall,48003
2019,TX,Andrews,Cardiovascular Diseases,197.1,"per 100,000",Ages 35-64 years,White,Overall,48003
2000,TX,Andrews,Cardiovascular Diseases,175.8,"per 100,000",Ages 35-64 years,White,Overall,48003
2001,TX,Andrews,Cardiovascular Diseases,173.9,"per 100,000",Ages 35-64 years,White,Overall,48003
2016,TX,Andrews,Cardiovascular Diseases,190.4,"per 100,000",Ages 35-64 years,White,Overall,48003
2008,TX,Andrews,Cardiovascular Diseases,171.8,"per 100,000",Ages 35-64 years,White,Overall,48003
2006,TX,Andrews,Cardiovascular Diseases,162.1,"per 100,000",Ages 35-64 years,White,Overall,48003
2009,TX,Andrews,Cardiovascular Diseases,163.3,"per 100,000",Ages 35-64 years,White,Overall,48003
2002,TX,Andrews,Cardiovascular Diseases,169.9,"per 100,000",Ages 35-64 years,White,Overall,48003
2012,TX,Andrews,Cardiovascular Diseases,171,"per 100,000",Ages 35-64 years,White,Overall,48003
2010,TX,Andrews,Cardiovascular Diseases,161.2,"per 100,000",Ages 35-64 years,White,Overall,48003
2003,TX,Andrews,Cardiovascular Diseases,175.5,"per 100,000",Ages 35-64 years,White,Overall,48003
1999,TX,Andrews,Cardiovascular Diseases,171.1,"per 100,000",Ages 35-64 years,White,Overall,48003
2011,TX,Andrews,Cardiovascular Diseases,168,"per 100,000",Ages 35-64 years,White,Overall,48003
2008,TX,Andrews,Cardiovascular Diseases,1666.7,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2009,TX,Andrews,Cardiovascular Diseases,1564.3,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2006,TX,Andrews,Cardiovascular Diseases,1754.3,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2000,TX,Andrews,Cardiovascular Diseases,1968.8,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2019,TX,Andrews,Cardiovascular Diseases,1270.4,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2018,TX,Andrews,Cardiovascular Diseases,1300.6,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2007,TX,Andrews,Cardiovascular Diseases,1724.3,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2003,TX,Andrews,Cardiovascular Diseases,2032.8,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2017,TX,Andrews,Cardiovascular Diseases,1341.6,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2016,TX,Andrews,Cardiovascular Diseases,1374.1,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2013,TX,Andrews,Cardiovascular Diseases,1407.6,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2011,TX,Andrews,Cardiovascular Diseases,1349.1,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2014,TX,Andrews,Cardiovascular Diseases,1371.7,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2002,TX,Andrews,Cardiovascular Diseases,1994.8,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2001,TX,Andrews,Cardiovascular Diseases,1931.7,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2010,TX,Andrews,Cardiovascular Diseases,1461.1,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2015,TX,Andrews,Cardiovascular Diseases,1430.7,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
1999,TX,Andrews,Cardiovascular Diseases,2042.7,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2004,TX,Andrews,Cardiovascular Diseases,1812.3,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2005,TX,Andrews,Cardiovascular Diseases,1882,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2012,TX,Andrews,Cardiovascular Diseases,1388,"per 100,000",Ages 65 years and older,Hispanic,Overall,48003
2015,TX,Andrews,Cardiovascular Diseases,2141.9,"per 100,000",Ages 65 years and older,White,Overall,48003
2010,TX,Andrews,Cardiovascular Diseases,2352.6,"per 100,000",Ages 65 years and older,White,Overall,48003
2002,TX,Andrews,Cardiovascular Diseases,2700.4,"per 100,000",Ages 65 years and older,White,Overall,48003
2012,TX,Andrews,Cardiovascular Diseases,2150,"per 100,000",Ages 65 years and older,White,Overall,48003
2017,TX,Andrews,Cardiovascular Diseases,2108.2,"per 100,000",Ages 65 years and older,White,Overall,48003
2019,TX,Andrews,Cardiovascular Diseases,1994,"per 100,000",Ages 65 years and older,White,Overall,48003
2005,TX,Andrews,Cardiovascular Diseases,2679.7,"per 100,000",Ages 65 years and older,White,Overall,48003
2001,TX,Andrews,Cardiovascular Diseases,2705.2,"per 100,000",Ages 65 years and older,White,Overall,48003
2014,TX,Andrews,Cardiovascular Diseases,2101.3,"per 100,000",Ages 65 years and older,White,Overall,48003
2011,TX,Andrews,Cardiovascular Diseases,2233.6,"per 100,000",Ages 65 years and older,White,Overall,48003
2009,TX,Andrews,Cardiovascular Diseases,2341.4,"per 100,000",Ages 65 years and older,White,Overall,48003
1999,TX,Andrews,Cardiovascular Diseases,2927.9,"per 100,000",Ages 65 years and older,White,Overall,48003
2006,TX,Andrews,Cardiovascular Diseases,2537.4,"per 100,000",Ages 65 years and older,White,Overall,48003
2018,TX,Andrews,Cardiovascular Diseases,2047.6,"per 100,000",Ages 65 years and older,White,Overall,48003
2004,TX,Andrews,Cardiovascular Diseases,2688.3,"per 100,000",Ages 65 years and older,White,Overall,48003
2013,TX,Andrews,Cardiovascular Diseases,2143.4,"per 100,000",Ages 65 years and older,White,Overall,48003
2016,TX,Andrews,Cardiovascular Diseases,2067.1,"per 100,000",Ages 65 years and older,White,Overall,48003
2000,TX,Andrews,Cardiovascular Diseases,2794.6,"per 100,000",Ages 65 years and older,White,Overall,48003
2007,TX,Andrews,Cardiovascular Diseases,2486.2,"per 100,000",Ages 65 years and older,White,Overall,48003
2008,TX,Andrews,Cardiovascular Diseases,2528.8,"per 100,000",Ages 65 years and older,White,Overall,48003
2003,TX,Andrews,Cardiovascular Diseases,2830.7,"per 100,000",Ages 65 years and older,White,Overall,48003
2018,TX,Angelina,Cardiovascular Diseases,328.5,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2012,TX,Angelina,Cardiovascular Diseases,334.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2001,TX,Angelina,Cardiovascular Diseases,335.9,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2002,TX,Angelina,Cardiovascular Diseases,349.3,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2019,TX,Angelina,Cardiovascular Diseases,311.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2017,TX,Angelina,Cardiovascular Diseases,339,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2011,TX,Angelina,Cardiovascular Diseases,339.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2015,TX,Angelina,Cardiovascular Diseases,325,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2003,TX,Angelina,Cardiovascular Diseases,354.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2005,TX,Angelina,Cardiovascular Diseases,322.8,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2009,TX,Angelina,Cardiovascular Diseases,335.6,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2014,TX,Angelina,Cardiovascular Diseases,329.3,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2000,TX,Angelina,Cardiovascular Diseases,338.7,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2004,TX,Angelina,Cardiovascular Diseases,338,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
1999,TX,Angelina,Cardiovascular Diseases,336.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2010,TX,Angelina,Cardiovascular Diseases,335.2,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2016,TX,Angelina,Cardiovascular Diseases,325,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2006,TX,Angelina,Cardiovascular Diseases,330.6,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2008,TX,Angelina,Cardiovascular Diseases,324.9,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2013,TX,Angelina,Cardiovascular Diseases,326.5,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2007,TX,Angelina,Cardiovascular Diseases,325.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48005
2011,TX,Angelina,Cardiovascular Diseases,92.3,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2006,TX,Angelina,Cardiovascular Diseases,93.7,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2008,TX,Angelina,Cardiovascular Diseases,96.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2018,TX,Angelina,Cardiovascular Diseases,82.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2007,TX,Angelina,Cardiovascular Diseases,94.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2009,TX,Angelina,Cardiovascular Diseases,98.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2012,TX,Angelina,Cardiovascular Diseases,92.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2010,TX,Angelina,Cardiovascular Diseases,94.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2019,TX,Angelina,Cardiovascular Diseases,78.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2005,TX,Angelina,Cardiovascular Diseases,98.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2000,TX,Angelina,Cardiovascular Diseases,101.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
1999,TX,Angelina,Cardiovascular Diseases,112.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2017,TX,Angelina,Cardiovascular Diseases,83,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2016,TX,Angelina,Cardiovascular Diseases,83.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2001,TX,Angelina,Cardiovascular Diseases,97.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2014,TX,Angelina,Cardiovascular Diseases,87.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2015,TX,Angelina,Cardiovascular Diseases,86.3,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2003,TX,Angelina,Cardiovascular Diseases,98.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2013,TX,Angelina,Cardiovascular Diseases,89.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2004,TX,Angelina,Cardiovascular Diseases,100.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2002,TX,Angelina,Cardiovascular Diseases,100.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48005
2014,TX,Angelina,Cardiovascular Diseases,227.9,"per 100,000",Ages 35-64 years,White,Overall,48005
2018,TX,Angelina,Cardiovascular Diseases,200,"per 100,000",Ages 35-64 years,White,Overall,48005
2013,TX,Angelina,Cardiovascular Diseases,227.2,"per 100,000",Ages 35-64 years,White,Overall,48005
2017,TX,Angelina,Cardiovascular Diseases,208,"per 100,000",Ages 35-64 years,White,Overall,48005
2004,TX,Angelina,Cardiovascular Diseases,210.2,"per 100,000",Ages 35-64 years,White,Overall,48005
2005,TX,Angelina,Cardiovascular Diseases,202.2,"per 100,000",Ages 35-64 years,White,Overall,48005
2015,TX,Angelina,Cardiovascular Diseases,213.1,"per 100,000",Ages 35-64 years,White,Overall,48005
2007,TX,Angelina,Cardiovascular Diseases,222.8,"per 100,000",Ages 35-64 years,White,Overall,48005
2019,TX,Angelina,Cardiovascular Diseases,193.3,"per 100,000",Ages 35-64 years,White,Overall,48005
2000,TX,Angelina,Cardiovascular Diseases,206,"per 100,000",Ages 35-64 years,White,Overall,48005
2001,TX,Angelina,Cardiovascular Diseases,210.5,"per 100,000",Ages 35-64 years,White,Overall,48005
2016,TX,Angelina,Cardiovascular Diseases,203,"per 100,000",Ages 35-64 years,White,Overall,48005
